time,strategy,exchange,identifier,symbol,side,type,status,price,filled_quantity,multiplier,trade_cost,trade_slippage,time_in_force,asset.right,asset.strike,asset.multiplier,asset.expiration,asset.asset_type,price_source
2024-02-26 16:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_1,ETH,buy,market,new,,,1,,0.0,gtc,,0.0,1,,crypto,
2024-02-26 16:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_1,ETH,buy,market,fill,3162.482,41.16757578396523,1,0.0,0.0,gtc,,0.0,1,,crypto,
2024-02-28 18:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_2,ETH,sell,market,new,,,1,,0.0,gtc,,0.0,1,,crypto,
2024-02-28 18:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_2,ETH,sell,market,fill,3271.721,41.16757578396523,1,0.0,0.0,gtc,,0.0,1,,crypto,
2024-03-04 15:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_3,ETH,buy,market,new,,,1,,0.0,gtc,,0.0,1,,crypto,
2024-03-04 15:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_3,ETH,buy,market,fill,3558.695,38.179657128013154,1,0.0,0.0,gtc,,0.0,1,,crypto,
2024-03-05 17:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_4,ETH,sell,market,new,,,1,,0.0,gtc,,0.0,1,,crypto,
2024-03-05 17:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_4,ETH,sell,market,fill,3646.1175,38.179657128013154,1,0.0,0.0,gtc,,0.0,1,,crypto,
2024-03-07 20:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_5,ETH,buy,market,new,,,1,,0.0,gtc,,0.0,1,,crypto,
2024-03-07 20:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_5,ETH,buy,market,fill,3911.1292560645,35.813527385250914,1,0.0,0.0,gtc,,0.0,1,,crypto,
2024-03-12 15:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_6,ETH,sell,market,new,,,1,,0.0,gtc,,0.0,1,,crypto,
2024-03-12 15:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_6,ETH,sell,market,fill,4000.19,35.813527385250914,1,0.0,0.0,gtc,,0.0,1,,crypto,
2024-03-25 17:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_7,ETH,buy,market,new,,,1,,0.0,gtc,,0.0,1,,crypto,
2024-03-25 17:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_7,ETH,buy,market,fill,3643.45,39.57385324477746,1,0.0,0.0,gtc,,0.0,1,,crypto,
2024-03-26 16:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_8,ETH,sell,market,new,,,1,,0.0,gtc,,0.0,1,,crypto,
2024-03-26 16:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_8,ETH,sell,market,fill,3565.225,39.57385324477746,1,0.0,0.0,gtc,,0.0,1,,crypto,
2024-05-17 15:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_9,ETH,buy,market,new,,,1,,0.0,gtc,,0.0,1,,crypto,
2024-05-17 15:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_9,ETH,buy,market,fill,3113.3215,45.071157522468724,1,0.0,0.0,gtc,,0.0,1,,crypto,
2024-05-21 13:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_10,ETH,sell,market,new,,,1,,0.0,gtc,,0.0,1,,crypto,
2024-05-21 13:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_10,ETH,sell,market,fill,3781.822,45.071157522468724,1,0.0,0.0,gtc,,0.0,1,,crypto,
2024-05-23 17:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_11,ETH,buy,market,new,,,1,,0.0,gtc,,0.0,1,,crypto,
2024-05-23 17:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_11,ETH,buy,market,fill,3816.69,47.05142555143863,1,0.0,0.0,gtc,,0.0,1,,crypto,
2024-05-23 18:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_12,ETH,sell,market,new,,,1,,0.0,gtc,,0.0,1,,crypto,
2024-05-23 18:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_12,ETH,sell,market,fill,3719.95,47.05142555143863,1,0.0,0.0,gtc,,0.0,1,,crypto,
2024-07-10 16:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_13,ETH,buy,market,new,,,1,,0.0,gtc,,0.0,1,,crypto,
2024-07-10 16:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_13,ETH,buy,market,fill,3136.2,55.34061990675002,1,0.0,0.0,gtc,,0.0,1,,crypto,
2024-07-16 16:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_14,ETH,sell,market,new,,,1,,0.0,gtc,,0.0,1,,crypto,
2024-07-16 16:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_14,ETH,sell,market,fill,3455.815,55.34061990675002,1,0.0,0.0,gtc,,0.0,1,,crypto,
2024-07-19 17:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_15,ETH,buy,market,new,,,1,,0.0,gtc,,0.0,1,,crypto,
2024-07-19 17:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_15,ETH,buy,market,fill,3504.7815,56.111026926850656,1,0.0,0.0,gtc,,0.0,1,,crypto,
2024-07-22 13:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_16,ETH,sell,market,new,,,1,,0.0,gtc,,0.0,1,,crypto,
2024-07-22 13:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_16,ETH,sell,market,fill,3490.11,56.111026926850656,1,0.0,0.0,gtc,,0.0,1,,crypto,
2024-08-23 18:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_17,ETH,buy,market,new,,,1,,0.0,gtc,,0.0,1,,crypto,
2024-08-23 18:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_17,ETH,buy,market,fill,2723.514,71.7728510763996,1,0.0,0.0,gtc,,0.0,1,,crypto,
2024-08-26 13:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_18,ETH,sell,market,new,,,1,,0.0,gtc,,0.0,1,,crypto,
2024-08-26 13:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_18,ETH,sell,market,fill,2735.16,71.7728510763996,1,0.0,0.0,gtc,,0.0,1,,crypto,
2024-10-14 14:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_19,ETH,buy,market,new,,,1,,0.0,gtc,,0.0,1,,crypto,
2024-10-14 14:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_19,ETH,buy,market,fill,2611.73,75.36602862211338,1,0.0,0.0,gtc,,0.0,1,,crypto,
2024-10-15 19:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_20,ETH,sell,market,new,,,1,,0.0,gtc,,0.0,1,,crypto,
2024-10-15 19:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_20,ETH,sell,market,fill,2583.0255,75.36602862211338,1,0.0,0.0,gtc,,0.0,1,,crypto,
2024-10-30 14:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_21,ETH,buy,market,new,,,1,,0.0,gtc,,0.0,1,,crypto,
2024-10-30 14:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_21,ETH,buy,market,fill,2709.898,71.52101390003553,1,0.0,0.0,gtc,,0.0,1,,crypto,
2024-10-31 13:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_22,ETH,sell,market,new,,,1,,0.0,gtc,,0.0,1,,crypto,
2024-10-31 13:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_22,ETH,sell,market,fill,2621.4,71.52101390003553,1,0.0,0.0,gtc,,0.0,1,,crypto,
2024-11-06 15:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_23,ETH,buy,market,new,,,1,,0.0,gtc,,0.0,1,,crypto,
2024-11-06 15:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_23,ETH,buy,market,fill,2661.7935,69.8593699476512,1,0.0,0.0,gtc,,0.0,1,,crypto,
2024-11-08 14:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_24,ETH,sell,market,new,,,1,,0.0,gtc,,0.0,1,,crypto,
2024-11-08 14:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_24,ETH,sell,market,fill,2951.04,69.8593699476512,1,0.0,0.0,gtc,,0.0,1,,crypto,
2024-11-22 16:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_25,ETH,buy,market,new,,,1,,0.0,gtc,,0.0,1,,crypto,
2024-11-22 16:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_25,ETH,buy,market,fill,3308.765,63.99965354665998,1,0.0,0.0,gtc,,0.0,1,,crypto,
2024-11-22 20:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_26,ETH,sell,market,new,,,1,,0.0,gtc,,0.0,1,,crypto,
2024-11-22 20:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_26,ETH,sell,market,fill,3291.28,63.99965354665998,1,0.0,0.0,gtc,,0.0,1,,crypto,
2024-12-04 20:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_27,ETH,buy,market,new,,,1,,0.0,gtc,,0.0,1,,crypto,
2024-12-04 20:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_27,ETH,buy,market,fill,3871.0135,54.255319856257735,1,0.0,0.0,gtc,,0.0,1,,crypto,
2024-12-09 15:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_28,ETH,sell,market,new,,,1,,0.0,gtc,,0.0,1,,crypto,
2024-12-09 15:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_28,ETH,sell,market,fill,3856.85,54.255319856257735,1,0.0,0.0,gtc,,0.0,1,,crypto,
2024-12-16 18:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_29,ETH,buy,market,new,,,1,,0.0,gtc,,0.0,1,,crypto,
2024-12-16 18:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_29,ETH,buy,market,fill,4044.7,51.68577530763481,1,0.0,0.0,gtc,,0.0,1,,crypto,
2024-12-17 15:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_30,ETH,sell,market,new,,,1,,0.0,gtc,,0.0,1,,crypto,
2024-12-17 15:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_30,ETH,sell,market,fill,3938.58,51.68577530763481,1,0.0,0.0,gtc,,0.0,1,,crypto,
2025-01-15 20:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_31,ETH,buy,market,new,,,1,,0.0,gtc,,0.0,1,,crypto,
2025-01-15 20:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_31,ETH,buy,market,fill,3451.779,58.7034678981395,1,0.0,0.0,gtc,,0.0,1,,crypto,
2025-01-16 14:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_32,ETH,sell,market,new,,,1,,0.0,gtc,,0.0,1,,crypto,
2025-01-16 14:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_32,ETH,sell,market,fill,3338.8735,58.7034678981395,1,0.0,0.0,gtc,,0.0,1,,crypto,
2025-01-17 20:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_33,ETH,buy,market,new,,,1,,0.0,gtc,,0.0,1,,crypto,
2025-01-17 20:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_33,ETH,buy,market,fill,3495.82,55.346049393871766,1,0.0,0.0,gtc,,0.0,1,,crypto,
2025-01-21 14:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_34,ETH,sell,market,new,,,1,,0.0,gtc,,0.0,1,,crypto,
2025-01-21 14:30:00+00:00,ETHAggressiveMomentumYTDStrategy,,bt_34,ETH,sell,market,fill,3331.823,55.346049393871766,1,0.0,0.0,gtc,,0.0,1,,crypto,
