Metric,benchmark,Strategy
Risk-Free Rate,5.2%,5.2%
Time in Market,100.0%,10.0%
,,
Total Return,45.97%,-4.10%
CAGR% (Annual Return),46.16%,-4.12%
,,
Sharpe,1.0,-0.48
RoMaD,1.88,-0.31
Corr to Benchmark,1.0,0.23
Prob. Sharpe Ratio,54.49%,12.58%
Smart Sharpe,0.98,-0.47
Sortino,1.59,-0.65
Smart Sortino,1.56,-0.63
Sortino/√2,1.12,-0.46
Smart Sortino/√2,1.1,-0.45
Omega,0.81,0.81
,,
Max Drawdown,-27.40%,-14.05%
Longest DD Days,206,323
Volatility (ann.),47.55%,16.87%
R^2,0.05,0.05
Information Ratio,-0.06,-0.06
Calmar,1.88,-0.31
Skew,0.63,-0.88
Kurtosis,2.97,36.1
,,
Expected Daily%,0.11%,-0.01%
Expected Monthly%,3.37%,-0.35%
Expected Yearly%,22.0%,-2.07%
Daily Value-at-Risk,-3.95%,-1.46%
Expected Shortfall (cVaR),-3.95%,-1.46%
,,
MTD,1.46%,2.04%
3M,28.95%,-7.55%
6M,23.09%,-2.83%
YTD,1.46%,2.04%
1Y,48.84%,-4.1%
3Y (ann.),51.62%,-4.29%
5Y (ann.),51.62%,-4.29%
10Y (ann.),51.62%,-4.29%
All-time (ann.),51.62%,-4.29%
,,
Best Day,12.32%,6.05%
Worst Day,-7.96%,-7.88%
Best Month,13.5%,5.11%
Worst Month,-11.36%,-6.84%
Best Year,46.7%,2.04%
Worst Year,1.46%,-6.02%
,,
Avg. Drawdown,-6.43%,-7.78%
Avg. Drawdown Days,19,174
Recovery Factor,1.84,0.2
Ulcer Index,0.14,0.08
Serenity Index,0.35,-0.06
,,
Avg. Up Month,6.7%,3.4%
Avg. Down Month,-4.0%,-4.0%
Win Days,174.0,164.06
Loss Days,176.0,185.94
Win Days%,49.71%,46.88%
Win Month%,83.33%,44.44%
Win Quarter%,80.0%,40.0%
Win Year%,100.0%,50.0%
,,
Beta,-,0.08
Alpha,-,-0.07
Correlation,-,22.51%
Treynor Ratio,-,-116.52%
